BI00B1200    7504T220927    202210207340-9316-0W             J/B ASS'Y                CCN000000100000000100FN00000000020221001000000100NNED0120220928122525    4J0J  0000000100000053400000072371200    YCYC    005400370024
BI00B1200    7360T52A02     202211107289-5979-30             HOUSING FEMALE ASS'Y     CCN000000252000000252FN00000000020221201000000252NNM   20220928140927    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    7360T52A03     202211177289-5979-30             HOUSING FEMALE ASS'Y     CCN000000252000000252FN00000000020221201000000252NNM   20220928140927    1N0N  0000002520000085470000106471200    YCYC    005400370024
BI00B1200    7360T52A01     202211037289-6547                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221201000002400NNM   20220928140927    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T52A02     202211107289-6547                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221201000002400NNM   20220928140927    1N0N  0000024000000115200000136201200    YCYC    005500360039
BI00B1200    7360T52A01     202211037296-0784-02             TERMINAL ALUMINIUM       CCN000072000000072000FN00000000020221201000072000NNM   20220928140927    4P0P  0000240000000048000000076521200    YCYC    006400630015
BI00B1200    7360T52A02     202211107296-0784-02             TERMINAL ALUMINIUM       CCN000072000000072000FN00000000020221201000072000NNM   20220928140927    4P0P  0000240000000048000000076521200    YCYC    006400630015
BI00B1200    7360T52A03     202211177296-0784-02             TERMINAL ALUMINIUM       CCN000048000000048000FN00000000020221201000048000NNM   20220928140927    4P0P  0000240000000048000000076521200    YCYC    006400630015
BI00B1200    7360T52A01     202211037296-1020-02             TERMINAL ALUMINIUM       CCN000022500000022500FN00000000020221201000022500NNM   20220928140927    4P0P  0000225000000069980000098501200    YCYC    006400630015
BI00B1200    7360T52A02     202211107296-1020-02             TERMINAL ALUMINIUM       CCN000022500000022500FN00000000020221201000022500NNM   20220928140927    4P0P  0000225000000069980000098501200    YCYC    006400630015
BI00B1200    7360T52A03     202211177296-1020-02             TERMINAL ALUMINIUM       CCN000022500000022500FN00000000020221201000022500NNM   20220928140927    4P0P  0000225000000069980000098501200    YCYC    006400630015
BI00B1200    7360T52A01     202211037388-2978-30             HOUSING MALE ASS'Y       CCN000002880000002880FN00000000020221201000002880NNM   20220928140927    1N0N  0000004800000074200000112201200    YCYC    005500360039
BI00B1200    7360T52A02     202211107388-2978-30             HOUSING MALE ASS'Y       CCN000002880000002880FN00000000020221201000002880NNM   20220928140927    1N0N  0000004800000074200000112201200    YCYC    005500360039
BI00B1200    7360T52A03     202211177388-2978-30             HOUSING MALE ASS'Y       CCN000002400000002400FN00000000020221201000002400NNM   20220928140927    1N0N  0000004800000074200000112201200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037158-8627                GROMMET INNER            CCN000002000000002000FN00000000020221201000002000NNM   20220928140926    2F0F  0000020000000065620000084001200    YCYC    005600390040
BI00B1200    #7360T52A01    202211037172-5625-90             RUBBER STOPPER           CCN000020000000020000FN00000000020221201000020000NNM   20220928140926    2H0H  0000200000000008240000013381200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5625-90             RUBBER STOPPER           CCN000020000000020000FN00000000020221201000020000NNM   20220928140926    2H0H  0000200000000008240000013381200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037172-5626-90             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220928140926    2H0H  0000200000000007640000012781200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5626-90             RUBBER STOPPER           CCN000020000000020000FN00000000020221201000020000NNM   20220928140926    2H0H  0000200000000007640000012781200    YCYC    004300270014
BI00B1200    #7360T52A03    202211177172-5626-90             RUBBER STOPPER           CCN000020000000020000FN00000000020221201000020000NNM   20220928140926    2H0H  0000200000000007640000012781200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037172-5627-60             RUBBER STOPPER           CCN000100000000100000FN00000000020221201000100000NNM   20220928140926    2H0H  0000200000000007040000012181200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5627-60             RUBBER STOPPER           CCN000080000000080000FN00000000020221201000080000NNM   20220928140926    2H0H  0000200000000007040000012181200    YCYC    004300270014
BI00B1200    #7360T52A03    202211177172-5627-60             RUBBER STOPPER           CCN000080000000080000FN00000000020221201000080000NNM   20220928140926    2H0H  0000200000000007040000012181200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037172-5629-80             RUBBER STOPPER           CCN000460000000460000FN00000000020221201000460000NNM   20220928140926    2H0H  0000200000000006000000011111200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5629-80             RUBBER STOPPER           CCN000440000000440000FN00000000020221201000440000NNM   20220928140926    2H0H  0000200000000006000000011111200    YCYC    004300270014
BI00B1200    #7360T52A03    202211177172-5629-80             RUBBER STOPPER           CCN000440000000440000FN00000000020221201000440000NNM   20220928140926    2H0H  0000200000000006000000011111200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037172-5630-40             RUBBER STOPPER           CCN000320000000320000FN00000000020221201000320000NNM   20220928140926    2H0H  0000200000000004400000009511200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5630-40             RUBBER STOPPER           CCN000320000000320000FN00000000020221201000320000NNM   20220928140926    2H0H  0000200000000004400000009511200    YCYC    004300270014
BI00B1200    #7360T52A03    202211177172-5630-40             RUBBER STOPPER           CCN000320000000320000FN00000000020221201000320000NNM   20220928140926    2H0H  0000200000000004400000009511200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037172-5631-60             RUBBER STOPPER           CCN000060000000060000FN00000000020221201000060000NNM   20220928140926    2H0H  0000200000000004200000009311200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5631-60             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220928140926    2H0H  0000200000000004200000009311200    YCYC    004300270014
BI00B1200    #7360T52A03    202211177172-5631-60             RUBBER STOPPER           CCN000040000000040000FN00000000020221201000040000NNM   20220928140926    2H0H  0000200000000004200000009311200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037172-5632-10             DUMMY PLUG               CCN000360000000360000FN00000000020221201000360000NNM   20220928140926    2H0H  0000200000000008040000013181200    YCYC    004300270014
BI00B1200    #7360T52A02    202211107172-5632-10             DUMMY PLUG               CCN000360000000360000FN00000000020221201000360000NNM   20220928140926    2H0H  0000200000000008040000013181200    YCYC    004300270014
BI00B1200    #7360T52A03    202211177172-5632-10             DUMMY PLUG               CCN000340000000340000FN00000000020221201000340000NNM   20220928140926    2H0H  0000200000000008040000013181200    YCYC    004300270014
BI00B1200    #7360T52A01    202211037173-3225-10             LIF LEVER                CCN000000800000000800FN00000000020221201000000800NNM   20220928140926    2F0F  0000008000000059200000071201200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037187-3356                JOINT CONNECTOR          CCN000001200000001200FN00000000020221201000001200NNM   20220928140926    2F0F  0000012000000075960000102441200    YCYC    005600390040
BI00B1200    #7360T52A01    202211037187-3357-40             JOINT CONNECTOR          CCN000001200000001200FN00000000020221201000001200NNM   20220928140926    2F0F  0000012000000076200000102921200    YCYC    005600390040
BI00B1200    #7360T52A01    202211037187-3360                JOINT CONNECTOR          CCN000001200000001200FN00000000020221201000001200NNM   20220928140926    2F0F  0000012000000075960000102681200    YCYC    005600390040
BI00B1200    #7360T52A01    202211037188-3035                HOUSING MALE             CCN000002400000002400FN00000000020221201000002400NNM   20220928140926    2F0F  0000024000000069360000091361200    YCYC    005500360039
BI00B1200    #7360T52A02    202211107188-3035                HOUSING MALE             CCN000002400000002400FN00000000020221201000002400NNM   20220928140926    2F0F  0000024000000069360000091361200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037189-2978-30             HOUSING FEMALE           CCN000003000000003000FN00000000020221201000003000NNM   20220928140926    2F0F  0000015000000096690000109691200    YCYC    005400370024
BI00B1200    #7360T52A02    202211107189-2978-30             HOUSING FEMALE           CCN000003000000003000FN00000000020221201000003000NNM   20220928140926    2F0F  0000015000000096690000109691200    YCYC    005400370024
BI00B1200    #7360T52A03    202211177189-2978-30             HOUSING FEMALE           CCN000003000000003000FN00000000020221201000003000NNM   20220928140926    2F0F  0000015000000096690000109691200    YCYC    005400370024
BI00B1200    #7360T52A01    202211037189-3031                HOUSING FEMALE           CCN000002400000002400FN00000000020221201000002400NNM   20220928140926    2F0F  0000024000000092880000136581200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037189-3032-30             HOUSING FEMALE           CCN000001600000001600FN00000000020221201000001600NNM   20220928140926    2F0F  0000016000000080160000102161200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037189-3033                HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220928140926    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #7360T52A02    202211107189-3033                HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220928140926    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #7360T52A03    202211177189-3033                HOUSING FEMALE           CCN000001600000001600FN00000000020221201000001600NNM   20220928140926    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037189-3036                HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220928140926    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #7360T52A02    202211107189-3036                HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220928140926    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #7360T52A03    202211177189-3036                HOUSING FEMALE           CCN000001600000001600FN00000000020221201000001600NNM   20220928140926    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #7360T52A01    202211037289-2913-30             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090750000103451200    YCYC    005400370024
BI00B1200    #7360T52A02    202211107289-2913-30             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090750000103451200    YCYC    005400370024
BI00B1200    #7360T52A01    202211037289-2914                HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090600000103301200    YCYC    005400370024
BI00B1200    #7360T52A02    202211107289-2914                HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090600000103301200    YCYC    005400370024
BI00B1200    #7360T52A01    202211037289-2914-40             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090450000103151200    YCYC    005400370024
BI00B1200    #7360T52A02    202211107289-2914-40             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090450000103151200    YCYC    005400370024
BI00B1200    #7360T52A03    202211177289-2914-40             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000090450000103151200    YCYC    005400370024
BI00B1200    #7360T52A01    202211037289-2915-30             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000096450000109151200    YCYC    005400370024
BI00B1200    #7360T52A02    202211107289-2915-30             HOUSING FEMALE ASS'Y     CCN000001500000001500FN00000000020221201000001500NNM   20220928140926    2N0N  0000015000000096450000109151200    YCYC    005400370024
