BI00B32H8    @2207AKMW      20220728181B32102Y9              AVSSCS 0.5FX2 DGY/P      CCN000000300000000300FY00000030020220701000000000NNE30 20220727143749    1W    00000030000002903000000000032H8    TYTYC   000000000000LG326001
BI00B32W4    4500197322     2022090618018403735              CAVS 0.3 B/R             CCN000002000000002000FN00000000020220901000002000NNE   20220727101359W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OH428002
BI00B32W4    4500197322     2022090618018403753              CAVS 0.3 R/B             CCN000002000000002000FN00000000020220901000002000NNE   20220727101359W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OH428003
BI00B32W4    4500197322     2022090618018403980              CAVS 0.5 BR              CCN000001500000001500FN00000000020220901000001500NNE   20220727101359W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OH428004
BI00B32W4    4500197322     2022090618018404160              CAVS 1.25 G              CCN000003200000003200FN00000000020220901000003200NNE   20220727101359W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OH428005
BI00B32W4    4500197322     202209061801R706950              CIVUS 0.35 R             CCN000003000000003000FN00000000020220901000003000NNE   20220727101359W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OH428001
BI00B32W4    4500197324     2022092018018403791              CAVS 0.3 SB              CCN000018000000018000FN00000000020220901000018000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129023
BI00B32W4    4500197324     2022092018018403740              CAVS 0.3 W               CCN000018000000018000FN00000000020220901000018000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129025
BI00B32W4    4500197324     2022092018018403730              CAVS 0.3 B               CCN000026000000026000FN00000000020220901000026000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129011
BI00B32W4    4500197324     2022092018018403750              CAVS 0.3 R               CCN000022000000022000FN00000000020220901000022000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129022
BI00B32W4    4500197324     2022092018018403752              CAVS 0.3 P               CCN000008000000008000FN00000000020220901000008000NNE   20220727101402W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OC129021
