BI00B32H8    22092 MW       2022080518007704060              AVSS 0.75F G             CCN000002000000002000FN00000000020220901000002000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM327013
BI00B32H8    22093 MW       2022081118007704060              AVSS 0.75F G             CCN000002000000002000FN00000000020220901000002000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM427016
BI00B32H8    22092 MW       2022080518007704063              AVSS 0.75F G/B           CCN000001000000001000FN00000000020220901000001000NNM   20220705135828    1W    00000100000000943000000000032H8    TYTYC   000000000000LM327014
BI00B32H8    @22091 MW      20220729181B32102S1              AVSSCS 0.5FX2 DGY        CCN000006000000006000FN00000000020220901000006000NNM   20220705135823    1W    00000030000002903000000000032H8    TYTYC   000000000000LM227001
BI00B32H8    @22092 MW      20220805181B32102S1              AVSSCS 0.5FX2 DGY        CCN000004500000004500FN00000000020220901000004500NNM   20220705135823    1W    00000030000002903000000000032H8    TYTYC   000000000000LM327001
BI00B32H8    @22093 MW      20220811181B32102S1              AVSSCS 0.5FX2 DGY        CCN000006000000006000FN00000000020220901000006000NNM   20220705135823    1W    00000030000002903000000000032H8    TYTYC   000000000000LM427001
BI00B32H8    22091IMW       2022072918007704036              AVSS 0.75F B/G           CCN000002000000002000FN00000000020220901000002000NNM   20220705135829    1W    00000100000000943000000000032H8    TYTYC   000000000000LI227006
BI00B32H8    22092IMW       2022080518007704036              AVSS 0.75F B/G           CCN000002000000002000FN00000000020220901000002000NNM   20220705135829    1W    00000100000000943000000000032H8    TYTYC   000000000000LI327003
BI00B32H8    22093IMW       2022081118007704036              AVSS 0.75F B/G           CCN000001000000001000FN00000000020220901000001000NNM   20220705135829    1W    00000100000000943000000000032H8    TYTYC   000000000000LI427002
BI00B32H8    @22091IMW      20220729181AD2022ZZ              CIVUSAS-S 0.35X2 B(R,G)  CCN000000450000000450FN00000000020220901000000450NNM   20220705135824    1W    00000045000001714000000000032H8    TYTYC   000000000000LI227001
BI00B32H8    @22091IMW      20220729181B32039Y5              AVSSCS 0.5FX1 DGY/W      CCN000000400000000400FN00000000020220901000000400NNM   20220705135824    1W    00000040000002289000000000032H8    TYTYC   000000000000LI227003
BI00B32H8    @22091IMW      20220729181B32039Y6              AVSSCS 0.5FX1 DGY/G      CCN000000400000000400FN00000000020220901000000400NNM   20220705135824    1W    00000040000002289000000000032H8    TYTYC   000000000000LI227002
BI00B32H8    @22091IMW      20220729181B32102Y5              AVSSCS 0.5FX2 DGY/W      CCN000000300000000300FN00000000020220901000000300NNM   20220705135824    1W    00000030000002903000000000032H8    TYTYC   000000000000LI227005
BI00B32H8    @22092IMW      20220805181B32102Y5              AVSSCS 0.5FX2 DGY/W      CCN000000300000000300FN00000000020220901000000300NNM   20220705135824    1W    00000030000002903000000000032H8    TYTYC   000000000000LI327002
BI00B32H8    @22091IMW      20220729181B32102Y6              AVSSCS 0.5FX2 DGY/G      CCN000000600000000600FN00000000020220901000000600NNM   20220705135824    1W    00000030000002903000000000032H8    TYTYC   000000000000LI227004
BI00B32H8    @22092IMW      20220805181B32102Y6              AVSSCS 0.5FX2 DGY/G      CCN000000600000000600FN00000000020220901000000600NNM   20220705135824    1W    00000030000002903000000000032H8    TYTYC   000000000000LI327001
BI00B32H8    @22093IMW      20220811181B32102Y6              AVSSCS 0.5FX2 DGY/G      CCN000000600000000600FN00000000020220901000000600NNM   20220705135824    1W    00000030000002903000000000032H8    TYTYC   000000000000LI427001
BI00B32H8    22092KMW       20220805180D0203730              AVSSH 0.3F B             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK327032
BI00B32H8    22093KMW       20220812180D0203730              AVSSH 0.3F B             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK427033
BI00B32H8    22092KMW       20220805180D0203750              AVSSH 0.3F R             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK327033
BI00B32H8    22093KMW       20220812180D0203750              AVSSH 0.3F R             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK427036
BI00B32H8    22093KMW       20220812180D0203752              AVSSH 0.3F P             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK427035
BI00B32H8    22093KMW       20220812180D0203770              AVSSH 0.3F Y             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK427038
BI00B32H8    22093KMW       20220812180D0203790              AVSSH 0.3F L             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK427034
BI00B32H8    22092KMW       20220805180D0203792              AVSSH 0.3F V             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK327034
BI00B32H8    22093KMW       20220812180D0203792              AVSSH 0.3F V             CCN000002000000002000FN00000000020220901000002000NNM   20220705135830    1W    00000200000000515000000000032H8    TYTYC   000000000000LK427037
BI00B32H8    22093KMW       20220812180D0203930              AVSSH 0.5F B             CCN000004500000004500FN00000000020220901000004500NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK427039
BI00B32H8    22092KMW       20220805180D0203935              AVSSH 0.5F B/R           CCN000001500000001500FN00000000020220901000001500NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK327035
BI00B32H8    22093KMW       20220812180D0203935              AVSSH 0.5F B/R           CCN000001500000001500FN00000000020220901000001500NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK427040
BI00B32H8    22093KMW       20220812180D0203940              AVSSH 0.5F W             CCN000003000000003000FN00000000020220901000003000NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK427046
BI00B32H8    22092KMW       20220805180D0203943              AVSSH 0.5F W/B           CCN000003000000003000FN00000000020220901000003000NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK327038
BI00B32H8    22093KMW       20220812180D0203943              AVSSH 0.5F W/B           CCN000004500000004500FN00000000020220901000004500NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK427047
BI00B32H8    22092KMW       20220805180D0203950              AVSSH 0.5F R             CCN000003000000003000FN00000000020220901000003000NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK327037
BI00B32H8    22093KMW       20220812180D0203950              AVSSH 0.5F R             CCN000003000000003000FN00000000020220901000003000NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK427044
BI00B32H8    22093KMW       20220812180D0203952              AVSSH 0.5F P             CCN000003000000003000FN00000000020220901000003000NNM   20220705135830    1W    00000150000000689000000000032H8    TYTYC   000000000000LK427043
