BI00A32D9    C225A          202209021801W006980              IVSSH 0.35F BR           CCN000005000000005000FN00000000020220901000005000NNE   20220823151125    1W    00000250000000452000000000032D9    UEHESTO 000000000000HM328002
BI00B32W4    4500199053     2022101818018403970              CAVS 0.5 Y               CCN000001500000001500FN00000000020221001000001500NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A038
BI00B32W4    4500199053     2022101818018403991              CAVS 0.5 SB              CCN000009000000009000FN00000000020221001000009000NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A036
BI00B32W4    4500199053     2022101818018403992              CAVS 0.5 V               CCN000007500000007500FN00000000020221001000007500NNE   20220823100130W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OB12A037
BI00B32W4    4500199053     2022101818018404130              CAVS 1.25 B              CCN000002400000002400FN00000000020221001000002400NNE   20220823100130W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OB12A039
BI00B32W4    4500199053     2022101818018404194              CAVS 1.25 L/W            CCN000000800000000800FN00000000020221001000000800NNE   20220823100130W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OB12A040
BI00B32W4    4500199053     202210181801R706950              CIVUS 0.35 R             CCN000003000000003000FN00000000020221001000003000NNE   20220823100130W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OB12A009
BI00B32W4    4500199053     202210181801R706930              CIVUS 0.35 B             CCN000006000000006000FN00000000020221001000006000NNE   20220823100130W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OB12A006
BI00B32W4    4500199053     202210181801R706970              CIVUS 0.35 Y             CCN000006000000006000FN00000000020221001000006000NNE   20220823100130W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OB12A010
BI00B32W4    4500199053     202210181801R706990              CIVUS 0.35 L             CCN000003000000003000FN00000000020221001000003000NNE   20220823100130W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OB12A008
BI00B32W4    4500199053     202210181801R706980              CIVUS 0.35 BR            CCN000003000000003000FN00000000020221001000003000NNE   20220823100130W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OB12A007
BI00B32W4    4500199053     202210181801R703930              CIVUS 0.5 B              CCN000002200000002200FN00000000020221001000002200NNE   20220823100130W41 1W    00000220000000525000000000032W41   HJYHK-J 000000000000OB12A004
BI00B32W4    4500199053     202210181801R703970              CIVUS 0.5 Y              CCN000002200000002200FN00000000020221001000002200NNE   20220823100130W41 1W    00000220000000525000000000032W41   HJYHK-J 000000000000OB12A005
BI00B32W4    @4500199053    20221018181B0911611              CAVSAS 0.3X2 GY/L        CCN000002100000002100FN00000000020221001000002100NNE   20220823100128W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OB12A002
BI00B32W4    @4500199053    20221018181B09116K3              CAVSAS 0.3X2 GY/P        CCN000003850000003850FN00000000020221001000003850NNE   20220823100128W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OB12A003
BI00B32W4    @4500199053    20221018181B0911641              CAVSAS 0.3X2 GY          CCN000002100000002100FN00000000020221001000002100NNE   20220823100128W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OB12A001
