BI00A1200    O022K50439     202209277288-6598-70             HOUSING MALE ASS'Y       CCN000002880000002880FY00000288020221101000000000NNED0020220927154250    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52A18     202211107196-0805-02             TERMINAL FEMALE          CCN000585000000585000FN00000000020221201000585000NNM   20220927121701    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52A19     202211177196-0805-02             TERMINAL FEMALE          CCN000585000000585000FN00000000020221201000585000NNM   20220927121701    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52A17     202211037288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNM   20220927121701    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A18     202211107288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNM   20220927121701    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A19     202211177288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNM   20220927121701    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A17     202211037288-6598-70             HOUSING MALE ASS'Y       CCN000034560000034560FN00000000020221201000034560NNM   20220927121701    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52A18     202211107288-6598-70             HOUSING MALE ASS'Y       CCN000034560000034560FN00000000020221201000034560NNM   20220927121701    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52A19     202211177288-6598-70             HOUSING MALE ASS'Y       CCN000033120000033120FN00000000020221201000033120NNM   20220927121701    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52A17     202211037288-7969                HYBRID MALE ASS'Y        CCN000011840000011840FN00000000020221201000011840NNM   20220927121701    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52A18     202211107288-7969                HYBRID MALE ASS'Y        CCN000011840000011840FN00000000020221201000011840NNM   20220927121701    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52A19     202211177288-7969                HYBRID MALE ASS'Y        CCN000011840000011840FN00000000020221201000011840NNM   20220927121701    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    2399T52A17     202211037289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020221201000003200NNM   20220927121701    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52A18     202211107289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020221201000003200NNM   20220927121701    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52A19     202211177289-0269                HOUSING SUB ASSEMBLY     CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    #2399T52A17    202211037189-3036                HOUSING FEMALE           CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52A18    202211107189-3036                HOUSING FEMALE           CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52A17    202211037189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220927121701    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52A18    202211107189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220927121701    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52A19    202211177189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220927121701    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52A17    202211037198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221201000006000NNM   20220927121701    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52A18    202211107198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221201000006000NNM   20220927121701    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52A19    202211177198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221201000006000NNM   20220927121701    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52A19    202211177189-3034-30             HOUSING FEMALE           CCN000025600000025600FN00000000020221201000025600NNM   20220927121701    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    2399T52A20     202211247195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221201000025500NNM   20220927121701    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52A20     202211247195-0783-08             TERMINAL                 CCN000210000000210000FN00000000020221201000210000NNM   20220927121701    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52A20     202211247196-0550-02             TERMINAL ALUMINIUM       CCN000096000000096000FN00000000020221201000096000NNM   20220927121701    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52A20     202211247196-0648-02             TERMINAL                 CCN000090000000090000FN00000000020221201000090000NNM   20220927121701    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52A20     202211247196-0805-02             TERMINAL FEMALE          CCN000585000000585000FN00000000020221201000585000NNM   20220927121701    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    2399T52A20     202211247288-6547                CONNECTOR MALE ASS'Y     CCN000117750000117750FN00000000020221201000117750NNM   20220927121701    4N0N  0000007500000120530000134031200    YCYC    005400370024
BI00B1200    2399T52A20     202211247288-6598-70             HOUSING MALE ASS'Y       CCN000033120000033120FN00000000020221201000033120NNM   20220927121701    4N0N  0000014400000107420000142921200    YCYC    005500360039
BI00B1200    2399T52A20     202211247288-7969                HYBRID MALE ASS'Y        CCN000011840000011840FN00000000020221201000011840NNM   20220927121701    1N0N  0000003200000087620000110171200    YCYC    005400370024
BI00B1200    #2399T52A20    202211247189-3034-30             HOUSING FEMALE           CCN000025600000025600FN00000000020221201000025600NNM   20220927121701    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52A20    202211247189-3036-30             HOUSING FEMALE           CCN000003200000003200FN00000000020221201000003200NNM   20220927121701    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52A20    202211247198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221201000006000NNM   20220927121701    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52A21     202211037289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-3342                HOUSING FEMALE ASS'Y     CCN000002400000002400FN00000000020221201000002400NNM   20220927121701    1N0N  0000024000000068640000090141200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-4212-80             SEALED HOUSING ASS'Y     CCN000030000000030000FN00000000020221201000030000NNM   20220927121701    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52A22     202211107289-4212-80             SEALED HOUSING ASS'Y     CCN000028000000028000FN00000000020221201000028000NNM   20220927121701    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52A23     202211177289-4212-80             SEALED HOUSING ASS'Y     CCN000028000000028000FN00000000020221201000028000NNM   20220927121701    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52A21     202211037289-6159-30             HOUSING FEMALE ASS'Y     CCN000000720000000720FN00000000020221201000000720NNM   20220927121701    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6159-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221201000000480NNM   20220927121701    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52A23     202211177289-6159-30             HOUSING FEMALE ASS'Y     CCN000000480000000480FN00000000020221201000000480NNM   20220927121701    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52A21     202211037289-6160-30             HOUSING FEMALE ASS'Y     CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52A22     202211107289-6160-30             HOUSING FEMALE ASS'Y     CCN000001600000001600FN00000000020221201000001600NNM   20220927121701    4N0N  0000001600000103740000132041200    YCYC    005500360039
