BI00B1200    #2399T52915    202210207174-1760-50             CAP                      CCN000042000000042000FN00000000020221101000042000NNM   20220825122421    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52913    202210067189-3033                HOUSING FEMALE           CCN000016000000016000FN00000000020221101000016000NNM   20220825122421    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52914    202210067189-3033                HOUSING FEMALE           CCN000016000000016000FN00000000020221101000016000NNM   20220825122421    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52915    202210207189-3033                HOUSING FEMALE           CCN000014400000014400FN00000000020221101000014400NNM   20220825122421    2F0F  0000016000000121120000143121200    YCYC    005500360039
BI00B1200    #2399T52913    202210067189-3034-30             HOUSING FEMALE           CCN000017600000017600FN00000000020221101000017600NNM   20220825122421    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52914    202210067189-3034-30             HOUSING FEMALE           CCN000017600000017600FN00000000020221101000017600NNM   20220825122421    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52915    202210207189-3034-30             HOUSING FEMALE           CCN000017600000017600FN00000000020221101000017600NNM   20220825122421    2F0F  0000016000000097280000119281200    YCYC    005500360039
BI00B1200    #2399T52913    202210067189-3036                HOUSING FEMALE           CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52914    202210067189-3036                HOUSING FEMALE           CCN000004800000004800FN00000000020221101000004800NNM   20220825122421    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52915    202210207189-3036                HOUSING FEMALE           CCN000003200000003200FN00000000020221101000003200NNM   20220825122421    2F0F  0000016000000092160000114161200    YCYC    005500360039
BI00B1200    #2399T52913    202210067189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020221101000001600NNM   20220825122421    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52914    202210067189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020221101000001600NNM   20220825122421    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52915    202210207189-3036-30             HOUSING FEMALE           CCN000001600000001600FN00000000020221101000001600NNM   20220825122421    2F0F  0000016000000092000000114001200    YCYC    005500360039
BI00B1200    #2399T52913    202210067198-1373-60             HOUSING FEMALE           CCN000020000000020000FN00000000020221101000020000NNM   20220825122421    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52914    202210067198-1373-60             HOUSING FEMALE           CCN000020000000020000FN00000000020221101000020000NNM   20220825122421    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    #2399T52915    202210207198-1373-60             HOUSING FEMALE           CCN000020000000020000FN00000000020221101000020000NNM   20220825122421    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52916     202210277195-0546-02             TERMINAL ALUMINIUM       CCN000025500000025500FN00000000020221101000025500NNM   20220825122421    4P0P  0000255000000040920000074491200    YCYC    006400630015
BI00B1200    2399T52916     202210277195-0783-08             TERMINAL                 CCN000030000000030000FN00000000020221101000030000NNM   20220825122421    4P0P  0000300000000050700000080121200    YCYC    006400630015
BI00B1200    2399T52916     202210277196-0549-02             TERMINAL ALUMINIUM       CCN000038000000038000FN00000000020221101000038000NNM   20220825122421    4P0P  0000380000000059280000097921200    YCYC    006400630017
BI00B1200    2399T52916     202210277196-0550-02             TERMINAL ALUMINIUM       CCN000064000000064000FN00000000020221101000064000NNM   20220825122421    4P0P  0000320000000051520000090161200    YCYC    006400630017
BI00B1200    2399T52916     202210277196-0648-02             TERMINAL                 CCN000270000000270000FN00000000020221101000270000NNM   20220825122421    4P0P  0000150000000035550000068971200    YCYC    006400630015
BI00B1200    2399T52916     202210277196-0805-02             TERMINAL FEMALE          CCN000540000000540000FN00000000020221101000540000NNM   20220825122421    4P0P  0000225000000055800000084321200    YCYC    006400630015
BI00B1200    #2399T52916    202210277174-1515                FRONT DOOR COVER         CCN000009000000009000FN00000000020221101000009000NNM   20220825122421    2F0F  0000006000000049020000061021200    YCYC    005500360039
BI00B1200    #2399T52916    202210277174-1760-50             CAP                      CCN000039000000039000FN00000000020221101000039000NNM   20220825122421    2F0F  0000030000000081360000092261200    YCYC    005400370024
BI00B1200    #2399T52916    202210277189-3033                HOUSING FEMALE           CCN000014400000014400FN00000000020221101000014400NNM   20220825122421    2F0F  0000016000000121120000143121200    YCYC    005500360039
