BI00B1200    H322J50026     202209157298-4094-10             HOUSING FEMALE ASS'Y     CCN000006760000003380FN00000000020221001000003380NNEQ0020220901121518    4N0N  0000033800000109740000135871200    YCYC    005400370024
BI00B32AG    XG22121KMW     202211047196-0104-02             TERMINAL                 CCN000038000000038000FN00000000020221201000038000NNM   20220901150055    4P0P  00003800000000570000000956432AG    XGXGY   006400630017
BI00B32AG    XG22121LMW     202211047017-1183-02             TERMINAL                 CCN000054000000054000FN00000000020221201000054000NNM   20220901150120    4P0P  00002700000001139400001307432AG    XGXGY   005100280028
BI00B32AG    XG22122LMW     202211117017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221201000027000NNM   20220901150120    4P0P  00002700000001139400001307432AG    XGXGY   005100280028
BI00B32AG    XG22123LMW     202211187017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221201000027000NNM   20220901150120    4P0P  00002700000001139400001307432AG    XGXGY   005100280028
BI00B32AG    XG22124LMW     202211257017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020221201000027000NNM   20220901150120    4P0P  00002700000001139400001307432AG    XGXGY   005100280028
BI00B32AG    XG22122LMW     202211117116-4022                TERMINAL                 CCN000013500000013500FN00000000020221201000013500NNM   20220901150120    4P0P  00001350000000618300000903532AG    XGXGY   006400630015
BI00B32AG    XG22124LMW     202211257116-4022                TERMINAL                 CCN000013500000013500FN00000000020221201000013500NNM   20220901150120    4P0P  00001350000000618300000903532AG    XGXGY   006400630015
BI00B32AG    XG22121LMW     202211047116-4025                TERMINAL                 CCN000048000000048000FN00000000020221201000048000NNM   20220901150120    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG22122LMW     202211117116-4025                TERMINAL                 CCN000048000000048000FN00000000020221201000048000NNM   20220901150120    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG22123LMW     202211187116-4025                TERMINAL                 CCN000048000000048000FN00000000020221201000048000NNM   20220901150120    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG22124LMW     202211257116-4025                TERMINAL                 CCN000032000000032000FN00000000020221201000032000NNM   20220901150120    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG22121LMW     202211047116-4026                TERMINAL                 CCN000032000000032000FN00000000020221201000032000NNM   20220901150120    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG22122LMW     202211117116-4026                TERMINAL                 CCN000032000000032000FN00000000020221201000032000NNM   20220901150120    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG22123LMW     202211187116-4026                TERMINAL                 CCN000032000000032000FN00000000020221201000032000NNM   20220901150120    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG22124LMW     202211257116-4026                TERMINAL                 CCN000032000000032000FN00000000020221201000032000NNM   20220901150120    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG22121LMW     202211047172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020221201000003900NNM   20220901150120    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG22122LMW     202211117172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020221201000003900NNM   20220901150120    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG22123LMW     202211187172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020221201000003900NNM   20220901150120    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG22121LMW     202211047289-4696-30             HOUSING FEMALE ASS'Y     CCN000010000000010000FN00000000020221201000010000NNM   20220901150120    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG22122LMW     202211117289-4696-30             HOUSING FEMALE ASS'Y     CCN000010000000010000FN00000000020221201000010000NNM   20220901150120    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG22123LMW     202211187289-4696-30             HOUSING FEMALE ASS'Y     CCN000010000000010000FN00000000020221201000010000NNM   20220901150120    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG22124LMW     202211257289-4696-30             HOUSING FEMALE ASS'Y     CCN000008000000008000FN00000000020221201000008000NNM   20220901150120    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
