BI00B32CJ    JQN2104        202209307116-3153-08             TERMINAL                 CCN000027000000027000FN00000000020221001000027000NNM   20220801151332    4P0P  00002700000000461700000746932CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097116-4031                TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220801151332    4P0P  00000750000000619500000904732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167116-4031                TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220801151332    4P0P  00000750000000619500000904732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-4031                TERMINAL                 CCN000015000000015000FN00000000020221001000015000NNM   20220801151332    4P0P  00000750000000619500000904732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307116-4031                TERMINAL                 CCN000022500000022500FN00000000020221001000022500NNM   20220801151332    4P0P  00000750000000619500000904732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077116-4031                TERMINAL                 CCN000022500000022500FN00000000020221001000022500NNM   20220801151332    4P0P  00000750000000619500000904732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-4032                TERMINAL                 CCN000048000000048000FN00000000020221001000048000NNM   20220801151332    4P0P  00000600000000532800000818032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307116-4032                TERMINAL                 CCN000054000000054000FN00000000020221001000054000NNM   20220801151332    4P0P  00000600000000532800000818032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077116-4032                TERMINAL                 CCN000048000000048000FN00000000020221001000048000NNM   20220801151332    4P0P  00000600000000532800000818032CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097116-4037                TERMINAL                 CCN000012000000012000FN00000000020221001000012000NNM   20220801151332    4P0P  00000600000000600000000894232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167116-4037                TERMINAL                 CCN000012000000012000FN00000000020221001000012000NNM   20220801151332    4P0P  00000600000000600000000894232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-4037                TERMINAL                 CCN000006000000006000FN00000000020221001000006000NNM   20220801151332    4P0P  00000600000000600000000894232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307116-4037                TERMINAL                 CCN000006000000006000FN00000000020221001000006000NNM   20220801151332    4P0P  00000600000000600000000894232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077116-4037                TERMINAL                 CCN000006000000006000FN00000000020221001000006000NNM   20220801151332    4P0P  00000600000000600000000894232CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220801151332    4P0P  00000750000000529500000817732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220801151332    4P0P  00000750000000529500000817732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2104        202209307116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220801151332    4P0P  00000750000000529500000817732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2105        202210077116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020221001000007500NNM   20220801151332    4P0P  00000750000000529500000817732CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020221001000004500NNM   20220801151332    4P0P  00000450000000618800000912432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2102        202209167116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020221001000004500NNM   20220801151332    4P0P  00000450000000618800000912432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2103        202209237116-4121-02             TERMINAL                 CCN000004500000004500FN00000000020221001000004500NNM   20220801151332    4P0P  00000450000000618800000912432CJ    QNYHVQN 006400630015
BI00B32CJ    JQN2101        202209097116-4231-02             TERMINAL                 CCN000052000000052000FN00000000020221001000052000NNM   20220801151332    4P0P  00002600000000683800001012532CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2102        202209167116-4231-02             TERMINAL                 CCN000052000000052000FN00000000020221001000052000NNM   20220801151332    4P0P  00002600000000683800001012532CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2103        202209237116-4231-02             TERMINAL                 CCN000052000000052000FN00000000020221001000052000NNM   20220801151332    4P0P  00002600000000683800001012532CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2104        202209307116-4231-02             TERMINAL                 CCN000052000000052000FN00000000020221001000052000NNM   20220801151332    4P0P  00002600000000683800001012532CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2105        202210077116-4231-02             TERMINAL                 CCN000052000000052000FN00000000020221001000052000NNM   20220801151332    4P0P  00002600000000683800001012532CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2101        202209097116-4415-02             TERMINAL                 CCN000076000000076000FN00000000020221001000076000NNM   20220801151332    4P0P  00003800000000596600000925732CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2102        202209167116-4415-02             TERMINAL                 CCN000076000000076000FN00000000020221001000076000NNM   20220801151332    4P0P  00003800000000596600000925732CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2103        202209237116-4415-02             TERMINAL                 CCN000076000000076000FN00000000020221001000076000NNM   20220801151332    4P0P  00003800000000596600000925732CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2104        202209307116-4415-02             TERMINAL                 CCN000076000000076000FN00000000020221001000076000NNM   20220801151332    4P0P  00003800000000596600000925732CJ    QNYHVQN 006400630017
BI00B32CJ    JQN2105        202210077116-4415-02             TERMINAL                 CCN000038000000038000FN00000000020221001000038000NNM   20220801151332    4P0P  00003800000000596600000925732CJ    QNYHVQN 006400630017
