BI00B32W9    4500199699     2022101818018404159              CAVS 1.25 R/L            CCN000000800000000800FN00000000020221001000000800NNE21 20220919140401W93 1W    00000080000001378000000000032W93   HKYHK   000000000000ZB22A092
BI00B32W9    4500199699     2022101818018403789              CAVS 0.3 BR/L            CCN000002000000002000FN00000000020221001000002000NNE21 20220919140231W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZB22A043
BI00B32W9    4500199764     2022101118018403740              CAVS 0.3 W               CCN000004000000004000FN00000000020221001000004000NNE20 20220919140136W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZE12A008
BI00B32W9    4500200677     2022101118007704130              AVSS 1.25F B             CCN000002400000002400FN00000000020221001000002400NNE   20220919110012W93 1W    00000080000001389000000000032W93   HKYHK   000000000000ZP429002
BI00B32W9    4500200677     2022101118007704160              AVSS 1.25F G             CCN000002400000002400FN00000000020221001000002400NNE   20220919110012W93 1W    00000080000001389000000000032W93   HKYHK   000000000000ZP429003
BI00B32W9    4500200677     2022101118007703936              AVSS 0.5F B/G            CCN000001500000001500FN00000000020221001000001500NNE   20220919110012W93 1W    00000150000000674000000000032W93   HKYHK   000000000000ZP429001
BI00B32W9    4500200677     2022101118018403730              CAVS 0.3 B               CCN000008000000008000FN00000000020221001000008000NNE   20220919110012W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZP429004
BI00B32W9    4500200677     2022101118018403740              CAVS 0.3 W               CCN000010000000010000FN00000000020221001000010000NNE   20220919110012W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZP429005
BI00B32W9    4500200680     2022101818018403730              CAVS 0.3 B               CCN000004000000004000FN00000000020221001000004000NNE   20220919110013W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZF12A002
BI00B32W9    4500200680     2022101818018403780              CAVS 0.3 BR              CCN000002000000002000FN00000000020221001000002000NNE   20220919110013W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZF12A003
BI00B32W9    4500200680     2022101818018403761              CAVS 0.3 LG              CCN000002000000002000FN00000000020221001000002000NNE   20220919110013W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZF12A004
BI00B32W9    4500200680     2022101818018403792              CAVS 0.3 V               CCN000002000000002000FN00000000020221001000002000NNE   20220919110013W93 1W    00000200000000471000000000032W93   HKYHK   000000000000ZF12A005
BI00B32W9    @4500200680    20221018181B09116K3              CAVSAS 0.3X2 GY/P        CCN000000350000000350FN00000000020221001000000350NNE   20220919110011W93 1W    00000035000002254000000000032W93   HKYHK   000000000000ZF12A001
