BI00B32AG    XG23013LMW     202212167017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020230101000045000NNM   20220929120719    4P0P  00004500000001165500001318632AG    XGXGY   005100280028
BI00B32AG    XG23014LMW     202212237017-1182-02             TERMINAL                 CCN000045000000045000FN00000000020230101000045000NNM   20220929120719    4P0P  00004500000001165500001318632AG    XGXGY   005100280028
BI00B32AG    XG23014LMW     202212237017-1183-02             TERMINAL                 CCN000027000000027000FN00000000020230101000027000NNM   20220929120719    4P0P  00002700000001139400001307432AG    XGXGY   005100280028
BI00B32AG    XG23012LMW     202212097116-4022                TERMINAL                 CCN000013500000013500FN00000000020230101000013500NNM   20220929120719    4P0P  00001350000000618300000903532AG    XGXGY   006400630015
BI00B32AG    XG23011LMW     202212027116-4025                TERMINAL                 CCN000016000000016000FN00000000020230101000016000NNM   20220929120719    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG23012LMW     202212097116-4025                TERMINAL                 CCN000016000000016000FN00000000020230101000016000NNM   20220929120719    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG23013LMW     202212167116-4025                TERMINAL                 CCN000032000000032000FN00000000020230101000032000NNM   20220929120719    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG23014LMW     202212237116-4025                TERMINAL                 CCN000032000000032000FN00000000020230101000032000NNM   20220929120719    4P0P  00001600000000644800000975132AG    XGXGY   006400630017
BI00B32AG    XG23011LMW     202212027116-4026                TERMINAL                 CCN000016000000016000FN00000000020230101000016000NNM   20220929120719    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG23012LMW     202212097116-4026                TERMINAL                 CCN000016000000016000FN00000000020230101000016000NNM   20220929120719    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG23013LMW     202212167116-4026                TERMINAL                 CCN000032000000032000FN00000000020230101000032000NNM   20220929120719    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG23014LMW     202212237116-4026                TERMINAL                 CCN000016000000016000FN00000000020230101000016000NNM   20220929120719    4P0P  00001600000000664000000994332AG    XGXGY   006400630017
BI00B32AG    XG23011LMW     202212027172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020230101000003900NNM   20220929120719    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG23012LMW     202212097172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020230101000003900NNM   20220929120719    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG23014LMW     202212237172-1372-10             FRONT HOLDER             CCN000003900000003900FN00000000020230101000003900NNM   20220929120719    4F0F  00000390000000655200000955232AG    XGXGY   005500360039
BI00B32AG    XG23011LMW     202212027289-4696-30             HOUSING FEMALE ASS'Y     CCN000008000000008000FN00000000020230101000008000NNM   20220929120719    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG23012LMW     202212097289-4696-30             HOUSING FEMALE ASS'Y     CCN000006000000006000FN00000000020230101000006000NNM   20220929120719    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
BI00B32AG    XG23013LMW     202212167289-4696-30             HOUSING FEMALE ASS'Y     CCN000008000000008000FN00000000020230101000008000NNM   20220929120719    4N0N  00000200000000913400001055432AG    XGXGY   005400370024
