BI00B1200    Y022I50062     202208187289-9613-30             HOUSING FEMALE ASS'Y     CCN000003840000003840FN00000000020220901000003840NNMD0320220725151300    4N0N  0000002400000126990000154371200    YCYC    005500360039
BI00B1200    #2399T52815    202209297198-1373-60             HOUSING FEMALE           CCN000006000000006000FN00000000020221001000006000NNM   20220725121513    2F0F  0000020000000081940000094741200    YCYC    005400370024
BI00B1200    2399T52816     202209017289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020221001000003200NNM   20220725121513    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-0269                HOUSING SUB ASSEMBLY     CCN000003200000003200FN00000000020221001000003200NNM   20220725121513    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-0269                HOUSING SUB ASSEMBLY     CCN000001600000001600FN00000000020221001000001600NNM   20220725121513    1N0N  0000016000000100210000123451200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-4212-80             SEALED HOUSING ASS'Y     CCN000024000000024000FN00000000020221001000024000NNM   20220725121513    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52817     202209087289-4212-80             SEALED HOUSING ASS'Y     CCN000024000000024000FN00000000020221001000024000NNM   20220725121513    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52818     202209157289-4212-80             SEALED HOUSING ASS'Y     CCN000022000000022000FN00000000020221001000022000NNM   20220725121513    4N0N  0000020000000084860000097861200    YCYC    005400370024
BI00B1200    2399T52816     202209017289-6159-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020221001000000240NNM   20220725121513    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-6159-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020221001000000240NNM   20220725121513    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-6159-30             HOUSING FEMALE ASS'Y     CCN000000240000000240FN00000000020221001000000240NNM   20220725121513    4N0N  0000002400000109500000137501200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-6160-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020221001000000960NNM   20220725121513    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-6160-30             HOUSING FEMALE ASS'Y     CCN000000800000000800FN00000000020221001000000800NNM   20220725121513    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-6160-30             HOUSING FEMALE ASS'Y     CCN000000800000000800FN00000000020221001000000800NNM   20220725121513    4N0N  0000001600000103740000132041200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-6518-30             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020221001000007200NNM   20220725121513    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-6518-30             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020221001000007200NNM   20220725121513    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-6518-30             HOUSING FEMALE ASS'Y     CCN000007200000007200FN00000000020221001000007200NNM   20220725121513    1N0N  0000012000000082920000104921200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-6523-30             HOUSING FEMALE ASS'Y     CCN000001680000001680FN00000000020221001000001680NNM   20220725121513    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-6523-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020221001000001440NNM   20220725121513    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-6523-30             HOUSING FEMALE ASS'Y     CCN000001440000001440FN00000000020221001000001440NNM   20220725121513    4N0N  0000002400000129050000162051200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020221001000065520NNM   20220725121513    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020221001000065520NNM   20220725121513    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-6868-30             SEALED ASSY FEMALE       CCN000065520000065520FN00000000020221001000065520NNM   20220725121513    4N0N  0000025200000083920000111921200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-9553-30             SEALED ASSY FEMALE       CCN000023520000023520FN00000000020221001000023520NNM   20220725121513    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-9553-30             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-9553-30             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110900000152151200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-9553-50             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-9553-50             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-9553-50             SEALED ASSY FEMALE       CCN000020580000020580FN00000000020221001000020580NNM   20220725121513    4N0N  0000029400000110810000152061200    YCYC    005500360039
BI00B1200    2399T52816     202209017289-9612-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020221001000000960NNM   20220725121513    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52817     202209087289-9612-30             HOUSING FEMALE ASS'Y     CCN000000960000000960FN00000000020221001000000960NNM   20220725121513    4N0N  0000002400000134880000166881200    YCYC    005500360039
BI00B1200    2399T52818     202209157289-9612-30             HOUSING FEMALE ASS'Y     CCN000000720000000720FN00000000020221001000000720NNM   20220725121513    4N0N  0000002400000134880000166881200    YCYC    005500360039
