BI00B32AF    JTB2091        202208117116-4026                TERMINAL                 CCN000016000000016000FN00000000020220901000016000NNM   20220704121957    4P0P  00001600000000664000000994332AF    HBYHVTB 006400630017
BI00B32AF    JTB2093        202208267116-4026                TERMINAL                 CCN000016000000016000FN00000000020220901000016000NNM   20220704121957    4P0P  00001600000000664000000994332AF    HBYHVTB 006400630017
BI00B32AF    JTB2091        202208117116-4031                TERMINAL                 CCN000007500000007500FN00000000020220901000007500NNM   20220704121957    4P0P  00000750000000619500000904732AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-4031                TERMINAL                 CCN000022500000022500FN00000000020220901000022500NNM   20220704121957    4P0P  00000750000000619500000904732AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-4031                TERMINAL                 CCN000015000000015000FN00000000020220901000015000NNM   20220704121957    4P0P  00000750000000619500000904732AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-4031                TERMINAL                 CCN000022500000022500FN00000000020220901000022500NNM   20220704121957    4P0P  00000750000000619500000904732AF    HBYHVTB 006400630015
BI00B32AF    JTB2091        202208117116-4032                TERMINAL                 CCN000018000000018000FN00000000020220901000018000NNM   20220704121957    4P0P  00000600000000532800000818032AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-4032                TERMINAL                 CCN000018000000018000FN00000000020220901000018000NNM   20220704121957    4P0P  00000600000000532800000818032AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-4032                TERMINAL                 CCN000018000000018000FN00000000020220901000018000NNM   20220704121957    4P0P  00000600000000532800000818032AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-4032                TERMINAL                 CCN000030000000030000FN00000000020220901000030000NNM   20220704121957    4P0P  00000600000000532800000818032AF    HBYHVTB 006400630015
BI00B32AF    JTB2091        202208117116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020220901000007500NNM   20220704121957    4P0P  00000750000000529500000817732AF    HBYHVTB 006400630015
BI00B32AF    JTB2092        202208197116-4111-02             TERMINAL                 CCN000007500000007500FN00000000020220901000007500NNM   20220704121957    4P0P  00000750000000529500000817732AF    HBYHVTB 006400630015
BI00B32AF    JTB2093        202208267116-4112-02             TERMINAL                 CCN000006000000006000FN00000000020220901000006000NNM   20220704121957    4P0P  00000600000000450000000738232AF    HBYHVTB 006400630015
BI00B32AF    JTB2094        202209027116-4112-02             TERMINAL                 CCN000006000000006000FN00000000020220901000006000NNM   20220704121957    4P0P  00000600000000450000000738232AF    HBYHVTB 006400630015
BI00B32AF    JTB2091        202208117116-4121-02             TERMINAL                 CCN000009000000009000FN00000000020220901000009000NNM   20220704121957    4P0P  00000450000000618800000912432AF    HBYHVTB 006400630015
